latitude;longitude;name;id_country;;;;;
3393911;67709953;Afganistan;1;33.93911;67.709953;;done;
41153332;20168331;Albania;2;41.153332;20.168331;;done;
51165691;10451526;Alemania;;51.165691;10.451526;;done;
-14333333;-170000000;American Samoa;3;-14.333333;-170;;done;
-11202692;17873887;Angola;4;-11.202692;17.873887;;done;
17086900;-61783500;Antigua and Barbuda;5;17.0869;-61.7835;;done;
12226079;-69060087;Antillas Neerlandesas;103;12.226079;-69.060087;;done;
23885942;45079162;Arabia Saudita;;23.885942;45.079162;;done;
28033886;1659626;Argelia;;28.033886;1.659626;;done;
40069099;45038189;Armenia;6;40.069099;45.038189;;done;
12521110;-69968338;Aruba;7;12.52111;-69.968338;;done;
25034280;-77396280;Bahamas;8;25.03428;-77.39628;;done;
23684994;90356331;Bangladés;9;23.684994;90.356331;;done;
13190100;-59535600;Barbados;10;13.1901;-59.5356;;done;
25930414;50637772;Baréin;;25.930414;50.637772;;done;
50503887;4469936;Bélgica;;50.503887;4.469936;;done;
17189877;-88,497,650;Belice;11;17.189877;-88.49765;;done;
9307690;2315834;Benín;12;9.30769;2.315834;;done;
32299507;-64,790,337;Bermudas;;32.299507;-64.790337;;done;
53709807;27953389;Bielorrusia;;53.709807;27.953389;;done;
-16290154;-63,588,653;Bolivia;;-16.290154;-63.588653;;done;
43915886;17679076;Bosnia y Herzegovina;14;43.915886;17.679076;;done;
-22328474;24684866;Botsuana;15;-22.328474;24.684866;;done;
-14235004;-51,925,280;Brasil;16;-14.235004;-51.92528;;done ;
4535277;114727669;Brunéi;;4.535277;114.727669;;done;
42733883;25485830;Bulgaria;17;42.733883;25.48583;;done;
12238333;-1561593;Burkina Faso;18;12.238333;-1.561593;;done ;
-3373056;29918886;Burundi;19;-3.373056;29.918886;;done;
27514162;90433601;Bután;13;27.514162;90.433601;;done;
16002082;-24013197;Cabo Verde;22;16.002082;-24.013197;;done;
12565679;104990963;Camboya;20;12.565679;104.990963;;done ;
7369722;12354722;Camerún;21;7.369722;12.354722;;done ;
56000000;-96,000,000;Canadá;;56;-96;;done ;
25354826;51183884;Catar;;25.354826;51.183884;;done ;
15454166;18732207;Chad;24;15.454166;18.732207;;done ;
-35,675,147;-71,542,969;Chile;25;-35.675147;-71.542969;;done ;
35861660;104195397;China;;35.86166;104.195397;;done ;
35126413;33429859;Chipre;32;35.126413;33.429859;;done ;
41902916;12453389;Ciudad del Vaticano;;41.902916;12.453389;;done ;
4570868;-74,297,333;Colombia;;4.570868;-74.297333;;done;
-11875001;43872219;Comoras;26;-11.875001;43.872219;;done ;
-4,038,333;21758664;Congo (RDC);33;-4.038333;21.758664;;done;
-228021;15827659;Congo;27;-0.228021;15.827659;;done ;
35907757;127766922;Corea del Sur;;35.907757;127.766922;;done;
40339852;127510093;Corea del Norte;109;40.339852;127.510093;;done;
7539989;-5547080;Costa de Marfil;29;7.539989;-5.54708;;done;
9748917;-83,753,428;Costa Rica;28;9.748917;-83.753428;;done;
45100000;15200000;Croacia;30;45.1;15.2;;done;
21521757;-77,781,167;Cuba;31;21.521757;-77.781167;;done;
56263920;9501785;Dinamarca;34;56.26392;9.501785;;done;
15414999;-61,370,976;Dominica;36;15.414999;-61.370976;;done;
-1,831,239;-78,183,406;Ecuador;38;-1.831239;-78.183406;;done ;
26820553;30802498;Egipto;39;26.820553;30.802498;;done;
13794185;-88,896,530;El Salvador;40;13.794185;-88.89653;;done;
23424076;53847818;Emiratos Árabes Unidos;;23.424076;53.847818;;done;
15179384;39782334;Eritrea;42;15.179384;39.782334;;done;
48669026;19699024;Eslovaquia;;48.669026;19.699024;;done;
46151241;14995463;Eslovenia;;46.151241;14.995463;;done;
40463667;-3749220;España;;40.463667;-3.74922;;done;
37090240;-95,712,891;Estados Unidos;;37.09024;-95.712891;;done;
58595272;25013607;Estonia;43;58.595272;25.013607;;done;
9149200;40489673;Etiopía;45;9.1492;40.489673;;done;
12879721;121774017;Filipinas;;12.879721;121.774017;;done;
61924110;25748151;Finlandia;49;61.92411;25.748151;;done;
-16578193;179414413;Fiyi;48;-16.578193;179.414413;;done;
46227638;2213749;Francia;;46.227638;2.213749;;done ;
31354676;34308825;Franja de Gaza;;31.354676;34.308825;;done ;
-803689;11609444;Gabón;51;-0.803689;11.609444;;done;
13443182;-15,310,139;Gambia;52;13.443182;-15.310139;;done ;
42315407;43356892;Georgia;53;42.315407;43.356892;;done;
7946527;-1023194;Ghana;54;7.946527;-1.023194;;done;
36137741;-5,345,374;Gibraltar;;36.137741;-5.345374;;done;
37188170;-3,606,670;Granada;;37.18817;-3.60667;;done;
39074208;21824312;Grecia;55;39.074208;21.824312;;done;
71706936;-42,604,303;Groenlandia;56;71.706936;-42.604303;;done;
16995971;-62,067,641;Guadalupe;58;16.995971;-62.067641;;done;
13444304;144793731;Guam;;13.444304;144.793731;;done;
15783471;-90,230,759;Guatemala;59;15.783471;-90.230759;;done;
3933889;-53,125,782;Guayana Francesa;50;3.933889;-53.125782;;done;
49465691;-2585278;Guernesey;;49.465691;-2.585278;;done;
9945587;-9,696,645;Guinea;60;9.945587;-9.696645;;done;
1650801;10267895;Guinea Ecuatorial;41;1.650801;10.267895;;done;
12000000;-15,000,000;Guinea-Bisáu;61;12;-15;;done;
4860416;-58,930,180;Guyana;62;4.860416;-58.93018;;done;
19000000;-72,416,666;Haití;63;19;-72.416666;;done;
15199999;-86,241,905;Honduras;64;15.199999;-86.241905;;done;
22396428;114109497;Hong Kong;65;22.396428;114.109497;;done;
47162494;19503304;Hungría;;47.162494;19.503304;;done;
20593684;78962880;India;67;20.593684;78.96288;;done;
-789275;113921327;Indonesia;;-0.789275;113.921327;;done;
33223191;43679291;Irak;68;33.223191;43.679291;;done;
32427908;53688046;Irán;;32.427908;53.688046;;done;
53412910;-8,243,890;Irlanda;69;53.41291;-8.24389;;done;
